#Mod_Status,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Download_File_Name
"+","VR Keyboard",64319,"https://www.nexusmods.com/skyrimspecialedition/mods/64319","1.0.1.0","VR Keyboard-64319-1-0-1-1646067557.7z"
"+","Essential Favorites VR",59554,"https://www.nexusmods.com/skyrimspecialedition/mods/59554","2.2.0.0","Essential Favorites VR-59554-2-2-0-1643620460.7z"
"+","Simple edge glow fixes - VR",85858,"https://www.nexusmods.com/skyrimspecialedition/mods/85858","1.1.1.0","Unwanted edge glow remover - VR-85858-1-1-1-1740101343.zip"
"+","UILIB_1_ShowTextInput_with_VR_support",0,"","d2024.3.10.0","UILIB_1_ShowTextInput_with_VR_support.7z"
"+","VR Menu Mouse Fix",33414,"https://www.nexusmods.com/skyrimspecialedition/mods/33414","1.6.0.0","Menu Mouse Fix-33414-1-6-0-1729028626.rar"
"+","Stable Hands - VR Mouse Stabilization mod",118579,"https://www.nexusmods.com/skyrimspecialedition/mods/118579","1.1.1.0","Stable Hands-118579-1-1-1-1742063201.rar"
"+","VR Smooth Dialogue Mesh",107993,"https://www.nexusmods.com/skyrimspecialedition/mods/107993","1.0.0.0","VR Smooth Dialogue Mesh-107993-1-0-0-1703910901.zip"
"+","Centered Messages Box VR",17687,"https://www.nexusmods.com/skyrimspecialedition/mods/17687","0.5.0.0","Centered Messages Box Higher and more Left-17687-0-5.zip"
"+","Favorite Misc Items",42750,"https://www.nexusmods.com/skyrimspecialedition/mods/42750","4.0.0.0","Favorite Misc Items-42750-4-0-0-1767556383.7z"
"+","Prisma UI VR Alpha",0,"","d2026.8.12.0","Prisma UI VR Alpha.zip"
"+","##Main Menu & Character Creation_separator",-1,"","",""
"+","Dramatic Main Menu",24187,"https://www.nexusmods.com/skyrimspecialedition/mods/24187","1.2.2.0","Dramatic Main Menu - Belated Anniversary-24187-1-2-2-1662049720.zip"
"+","Gilded Spinning Main Menu Emblem",26900,"https://www.nexusmods.com/skyrimspecialedition/mods/26900","1.0.0.0","Chrome Version-26900-1-1561386158.rar"
"+","Main Menu Randomizer SE",33574,"https://www.nexusmods.com/skyrimspecialedition/mods/33574","2.0.4.0","MainMenuRandomizer-33574-2-0-4-1709893053.zip"
"+","Better Main Menu for VR",122883,"https://www.nexusmods.com/skyrimspecialedition/mods/122883","1.0.0.0b","Better Main Menu VR - (Large Brazier) - ESL-122883-1-0b-1719531550.7z"
"+","Remove Bethesda Logo Among Other Things",2340,"https://www.nexusmods.com/skyrimspecialedition/mods/2340","1.1.0.0","Yada Yada Whatever-2340-1-1.zip"
"+","RaceMenu",19080,"https://www.nexusmods.com/skyrimspecialedition/mods/19080","0.4.20.0","RaceMenu Anniversary Edition v0-4-20-0-19080-0-4-20-0-1776620918.7z"
"+","RacemenuVR",156898,"https://www.nexusmods.com/skyrimspecialedition/mods/156898","0.5.0.0","RacemenuVR 0.5-156898-0-5-1755251470.7z"
"+","RaceMenu Undress",56437,"https://www.nexusmods.com/skyrimspecialedition/mods/56437","1.1.0.0","RaceMenu Undress-56437-1-1-0-1633225200.zip"
"+","RaceMenu High Heels (Height Fixes)",18045,"https://www.nexusmods.com/skyrimspecialedition/mods/18045","1.3.0.0","RaceMenu High Heels Fixes-18045-1-3-1552859840.7z"
"+","ShowRaceMenu - NG",173086,"https://www.nexusmods.com/skyrimspecialedition/mods/173086","1.0.4.0","ShowRaceMenu NG - Latest Version-173086-1-0-4-1776530436.zip"
